EnsemblID,predictedProb,HGNCsymbol,batch,exp_mis,exp_lof,mis_z,lof_z,pLI,NimblegenSeqCapEZv2,Medexome
ENSG00000115738,0.926483333,ID2,HItraining,52.7268955,2.46203271,0.857280538,1.554306373,0.583638222,T,T
ENSG00000176697,0.9263,BDNF,testing,109.7062443,8.975042883,1.900909498,2.967617763,0.946719308,T,T
ENSG00000139219,0.9261,COL2A1,HItraining,521.4180699,67.26541753,3.029203253,7.641174996,0.999999986,T,T
ENSG00000114861,0.925,FOXP1,HItraining,231.1004823,32.2747112,2.995491206,5.278840506,0.999750735,T,T
ENSG00000173253,0.924733333,DMRT2,HItraining,161.4564328,9.701081314,-3.138908944,2.449239824,0.460939428,T,T
ENSG00000116106,0.924266667,EPHA4,testing,349.3815756,38.90409053,3.150116143,5.702115347,0.999891325,T,T
ENSG00000196092,0.9229,PAX5,HItraining,163.275774,12.32896617,3.264234319,3.478188307,0.984243989,T,T
ENSG00000182197,0.92275,EXT1,HItraining,278.6069699,25.18277874,2.36207242,4.77357868,0.999320485,T,T
ENSG00000142871,0.922316667,CYR61,HItraining,149.8271224,11.07278744,0.752323691,2.998547151,0.882250776,T,T
ENSG00000162599,0.921366667,NFIA,HItraining,164.1010124,21.90690881,3.058431681,4.636393143,0.999555166,T,T
ENSG00000017260,0.920166667,ATP2C1,HItraining,281.4822271,41.66673777,3.454173204,5.780334487,0.999798835,T,T
ENSG00000147889,0.92,CDKN2A,HItraining,98.45732833,4.343847126,1.057713641,1.589274287,0.357648776,F,F
ENSG00000184302,0.91915,SIX6,HItraining,123.121259,8.752988116,2.782440043,2.595856301,0.757754035,F,F
ENSG00000104218,0.918583333,CSPP1,testing,381.4512864,56.69008632,-0.489569975,3.511447235,3.28E-13,T,T
ENSG00000184349,0.9182,EFNA5,testing,81.81620446,6.875250665,1.720462416,2.597370908,0.889436552,T,T
ENSG00000255384,0.918133333,,testing,NA,NA,NA,NA,NA,F,F
ENSG00000154473,0.9177,BUB3,HItraining,126.1984046,15.09091953,2.66458515,3.083125332,0.554686127,F,F
ENSG00000177426,0.917433333,TGIF1,HItraining,177.4427209,8.45793008,1.264691426,1.859026591,0.090759152,F,T
ENSG00000183770,0.916983333,FOXL2,HItraining,NA,NA,NA,NA,NA,F,F
ENSG00000096696,0.91665,DSP,HItraining,955.6027022,87.67078959,0.911424374,7.793949237,0.999901543,T,T
ENSG00000076242,0.9163,MLH1,HItraining,243.1729032,30.51909369,-1.092386183,4.396511925,0.739578311,T,T
ENSG00000107485,0.915716667,GATA3,HItraining,188.8590429,11.08481419,2.949085091,3.000498348,0.882718841,F,F
ENSG00000043355,0.91495,ZIC2,HItraining,NA,NA,NA,NA,NA,T,T
ENSG00000141367,0.914883333,CLTC,testing,532.7035005,60.42018662,8.089092621,7.444946873,0.999999993,T,T
ENSG00000181163,0.914216667,NPM1,HItraining,83.22665881,14.11447301,1.888672847,3.457866023,0.959043977,T,T
ENSG00000054598,0.9134,FOXC1,HItraining,NA,NA,NA,NA,NA,F,F
ENSG00000176165,0.913283333,FOXG1,HItraining,NA,NA,NA,NA,NA,T,T
ENSG00000135903,0.9131,PAX3,HItraining,204.9443927,20.40089848,3.107237069,3.81624971,0.900856133,T,T
ENSG00000008196,0.9129,TFAP2B,HItraining,201.6913347,13.81520634,2.951274607,3.681869898,0.990904305,T,T
ENSG00000198718,0.912833333,FAM179B,testing,536.4439526,55.35350249,0.030494494,4.70705796,2.89E-06,T,T
ENSG00000138081,0.912616667,FBXO11,testing,250.3530587,34.56216756,4.029594398,5.655085849,0.999979628,T,T
ENSG00000181449,0.912366667,SOX2,HItraining,169.4660113,4.745819222,4.375970033,1.703259859,0.396696528,F,F
ENSG00000134853,0.912216667,PDGFRA,testing,366.506553,38.56710145,1.596986981,5.673220455,0.99987673,T,T
ENSG00000134323,0.911183333,MYCN,HItraining,221.7043614,7.606068679,3.373792457,2.731931611,0.913862108,T,T
ENSG00000114062,0.911116667,UBE3A,HItraining,260.8076802,26.44608495,4.204068854,4.90151111,0.999576244,T,T
ENSG00000120071,0.910583333,KANSL1,HItraining,390.9221154,36.50529363,0.492840489,5.493197016,0.999733506,T,T
ENSG00000125813,0.9101,PAX1,HItraining,244.5587671,11.36730459,2.113035148,2.75217209,0.616084026,F,F
ENSG00000052850,0.910016667,ALX4,HItraining,165.8975979,11.36812914,0.83155878,2.458518964,0.234887704,F,F
ENSG00000140416,0.9098,TPM1,HItraining,101.3033806,13.79193879,3.416494728,3.145300746,0.799470022,T,T
ENSG00000118058,0.909733333,KMT2A,testing,1242.642002,115.7283309,6.641318128,10.28805288,1,T,T
ENSG00000139083,0.909583333,ETV6,HItraining,185.1076597,19.9601474,2.196848944,4.203872769,0.99522782,T,T
ENSG00000116679,0.908883333,IVNS1ABP,testing,183.9370414,28.74023128,1.873090774,4.940941722,0.999065766,T,T
ENSG00000163132,0.90885,MSX1,HItraining,145.9207265,3.453232193,2.466737027,1.307722097,0.275361731,F,F
ENSG00000060237,0.908733333,WNK1,testing,767.6835901,75.53155233,2.006888054,8.153106657,0.999999999,T,T
ENSG00000049449,0.9082,RCN1,testing,90.81812268,8.234484675,1.273793702,1.46174651,0.016338564,T,T
ENSG00000189403,0.906816667,HMGB1,testing,59.01565871,7.200224302,2.420445642,2.288885598,0.633893931,T,T
ENSG00000069011,0.90625,PITX1,HItraining,180.3169244,7.568466793,3.872581442,2.005032192,0.273516401,F,F
ENSG00000108753,0.906166667,HNF1B,HItraining,202.543694,20.64168764,2.321356903,4.500516089,0.999286182,F,F
ENSG00000151322,0.906066667,NPAS3,HItraining,394.660556,24.98206129,4.448033319,4.356562761,0.98054867,T,T
ENSG00000150907,0.905433333,FOXO1,HItraining,222.4508333,10.25664323,2.769511862,3.172431468,0.966380394,F,F
ENSG00000089225,0.905033333,TBX5,HItraining,197.7903275,14.12065661,1.627308405,3.722349871,0.991878564,F,F
ENSG00000112851,0.904983333,ERBB2IP,testing,366.8335715,49.93597388,-1.332210285,5.878542934,0.993356912,T,T
ENSG00000138083,0.904383333,SIX3,HItraining,183.4091471,4.252212769,3.951476994,1.562288051,0.348879194,T,T
ENSG00000124785,0.903883333,NRN1,testing,64.33769765,5.457766643,1.667038749,2.31418028,0.823897693,T,T
ENSG00000174579,0.90365,MSL2,testing,187.9097114,11.26838381,1.887891761,3.030128025,0.889663742,T,T
ENSG00000136574,0.903566667,GATA4,HItraining,139.5489388,9.439782831,1.803144373,2.721071474,0.802155487,T,T
ENSG00000183691,0.90345,NOG,HItraining,111.5982029,3.491584788,2.342733646,1.850976915,0.682857448,T,T
ENSG00000103241,0.903416667,FOXF1,HItraining,211.3199446,7.460908144,4.048402753,2.705736718,0.909443997,F,F
ENSG00000198087,0.9033,CD2AP,HItraining,171.1339366,27.25229139,-0.854949663,4.222435009,0.813221347,T,T
ENSG00000136944,0.902816667,LMX1B,HItraining,174.3988771,14.19768476,2.792605601,3.206699885,0.82273227,F,F
ENSG00000112319,0.9017,EYA4,HItraining,189.1202598,26.96949484,0.644484842,3.809082076,0.126429149,T,T
ENSG00000130675,0.9017,MNX1,HItraining,NA,NA,NA,NA,NA,F,F
ENSG00000138668,0.9017,HNRNPD,testing,98.1753478,14.00107924,3.019894063,3.441821157,0.957344185,T,T
ENSG00000145675,0.900983333,PIK3R1,HItraining,234.6925937,35.86400027,2.416685771,5.270606881,0.998240488,T,T
ENSG00000111817,0.900783333,DSE,testing,283.7063923,22.0716201,0.833605549,3.599543152,0.385415297,T,T
ENSG00000164692,0.90075,COL1A2,HItraining,472.8846669,58.77626114,1.301974952,6.560689025,0.999754944,T,T
ENSG00000169554,0.8998,ZEB2,HItraining,408.4169384,28.95042937,4.995854974,5.14577346,0.999833867,T,T
ENSG00000070087,0.89965,PFN2,testing,42.11687253,3.01183779,1.968382441,1.719117246,0.638693742,T,T
ENSG00000222033,0.8995,LINC01124,testing,NA,NA,NA,NA,NA,F,F
ENSG00000198743,0.899283333,SLC5A3,HItraining,223.8281455,10.3179369,2.184833139,2.873512146,0.84946475,F,F
ENSG00000272962,0.899283333,,testing,NA,NA,NA,NA,NA,F,F
ENSG00000068885,0.899033333,IFT80,testing,217.6796958,33.46557552,-0.076922184,2.134533022,1.44E-10,T,T
ENSG00000151702,0.899,FLI1,HItraining,164.9851679,14.14460111,1.979582803,3.198729396,0.819814084,T,T
ENSG00000117114,0.898483333,LPHN2,testing,426.5148341,50.37424945,0.770070447,6.891057943,0.999999945,T,T
ENSG00000062194,0.898116667,GPBP1,testing,156.7000812,19.98158313,1.082338611,3.984764915,0.975851112,T,T
ENSG00000109332,0.89795,UBE2D3,testing,49.15902313,8.617348439,3.080592523,2.570435286,0.74820302,T,T
ENSG00000169071,0.897266667,ROR2,HItraining,425.0840853,27.35031365,0.500188996,4.04401547,0.464718606,T,T
ENSG00000105974,0.897,CAV1,HItraining,76.3390248,4.70048933,1.474493222,0.776948205,0.018707972,F,F
ENSG00000117707,0.896966667,PROX1,HItraining,267.7250197,19.09925968,3.788212028,4.102440264,0.993426963,T,T
ENSG00000127152,0.896883333,BCL11B,HItraining,428.625315,12.59187798,6.417232445,3.235922815,0.929785242,F,F
ENSG00000163081,0.896766667,CCDC140,testing,64.08638968,3.562701808,0.127476181,0.820117469,0.063085752,T,T
ENSG00000174437,0.896633333,ATP2A2,HItraining,367.6031008,35.84950247,5.449220325,5.269273708,0.998230939,T,T
ENSG00000153904,0.896266667,DDAH1,testing,107.0745283,10.27339428,1.799731291,2.247863123,0.168276873,T,T
ENSG00000135365,0.896216667,PHF21A,testing,216.914166,27.15979786,2.820023842,4.972340214,0.999675486,T,T
ENSG00000163623,0.895966667,NKX6-1,testing,139.9458752,5.804667453,2.685270758,1.975442423,0.501554507,T,T
ENSG00000243927,0.89545,MRPS6,testing,44.08326233,5.425900644,-0.730547617,1.456895807,0.136243673,T,T
ENSG00000177519,0.894566667,RPRM,HItraining,61.26454661,1.985896521,1.828747453,1.395944181,0.532566515,F,F
ENSG00000135547,0.894516667,HEY2,testing,147.4336557,9.524954289,1.266232871,2.415250139,0.444357733,F,F
ENSG00000145907,0.894416667,G3BP1,testing,153.9277404,21.97403488,1.574100288,4.220856789,0.988390764,T,T
ENSG00000163527,0.894183333,STT3B,testing,248.2325524,29.31934293,3.825715551,4.631962445,0.980028091,T,T
ENSG00000174804,0.894116667,FZD4,HItraining,181.0785162,7.848022468,0.802513995,2.775043522,0.920786851,F,F
ENSG00000073921,0.893833333,PICALM,testing,177.0238461,23.99280022,0.147923447,4.245409274,0.97208309,T,T
ENSG00000196428,0.893833333,TSC22D2,testing,351.8334097,14.36871044,3.072673037,3.232251573,0.831881107,T,T
ENSG00000148143,0.893733333,ZNF462,testing,876.1112139,59.83484541,3.224178259,7.534374966,0.999999998,T,T
ENSG00000176624,0.893633333,MEX3C,testing,182.3327691,8.959189603,2.801223875,2.964995689,0.946417958,T,T
ENSG00000185551,0.893266667,NR2F2,HItraining,214.096624,7.703117617,5.786288947,2.749305293,0.91670423,F,F
ENSG00000106080,0.8927,FKBP14,testing,60.20981747,7.66074209,-0.364984857,0.236475548,4.19E-05,F,F
ENSG00000121579,0.8927,NAA50,testing,46.37646227,6.554108068,1.391688716,2.535983886,0.876848813,T,T
ENSG00000159216,0.892683333,RUNX1,HItraining,197.3454019,13.96270733,2.484099017,2.906181164,0.449323607,T,T
ENSG00000138160,0.8925,KIF11,HItraining,289.3086717,38.9436364,2.453177942,6.022965359,0.999996043,T,T
ENSG00000038274,0.891983333,MAT2B,testing,92.67557265,11.62047756,0.898063894,2.505007419,0.252497397,T,T
ENSG00000152904,0.891833333,GGPS1,testing,86.711519,7.57608637,1.192955499,2.366653929,0.666629559,F,F
ENSG00000196159,0.8918,FAT4,testing,1617.549039,81.82189418,-0.321684287,8.303277356,0.999999998,T,T
ENSG00000038427,0.891066667,VCAN,testing,977.8139531,58.72924096,-1.817364569,6.557236904,0.999750598,T,T
ENSG00000106086,0.890633333,PLEKHA8,testing,143.3515592,19.49207448,0.79055494,1.680980645,2.06E-06,T,T
ENSG00000174136,0.88975,RGMB,testing,136.2896698,7.387089427,0.473006749,1.59893011,0.060755423,T,T
ENSG00000141510,0.889583333,TP53,HItraining,160.742888,16.35129909,1.378924009,3.515643359,0.912222953,T,T
ENSG00000137504,0.889583333,CREBZF,testing,203.3901491,6.15115759,2.825703407,1.2585817,0.036661649,F,F
ENSG00000128918,0.889183333,ALDH1A2,HItraining,176.3842232,19.08836835,1.303154743,3.420957318,0.516630056,T,T
ENSG00000111875,0.88895,ASF1A,testing,43.59855366,5.476260911,1.599945172,1.471498971,0.138785137,T,T
ENSG00000143355,0.888933333,LHX9,testing,184.6142622,13.12523592,2.254017668,3.315327435,0.941757643,T,T
ENSG00000111799,0.888766667,COL12A1,testing,960.6876199,115.6980494,0.799884209,9.089400546,0.999999611,T,T
ENSG00000121774,0.888666667,KHDRBS1,HItraining,155.0880646,13.38542178,3.499023923,3.353393089,0.946876459,T,T
ENSG00000179454,0.8883,KLHL28,testing,185.693008,15.02062825,2.322073576,2.816773952,0.188871209,T,T
ENSG00000168036,0.888166667,CTNNB1,testing,260.349587,28.63043466,4.436388314,5.115209418,0.99981275,T,T
ENSG00000135638,0.88795,EMX1,testing,121.4373003,3.811864982,3.082004062,1.934008812,0.710215197,T,T
ENSG00000165379,0.887833333,LRFN5,testing,218.4564527,12.5215957,1.769026918,2.945380918,0.712324783,F,F
ENSG00000054267,0.887766667,ARID4B,testing,346.8737259,42.99422669,1.231005557,6.042016996,0.999976459,T,T
ENSG00000217236,0.88775,SP9,testing,91.47929488,1.677932584,3.348567242,1.283148736,0.498147938,T,T
ENSG00000164920,0.88765,OSR2,testing,130.2189383,6.473799346,2.452556158,2.131076021,0.566682209,F,F
ENSG00000108946,0.887516667,PRKAR1A,HItraining,139.8455579,20.41567665,3.509307186,4.475809748,0.999223269,T,T
ENSG00000105810,0.88725,CDK6,testing,121.7955951,12.35161842,3.492228205,3.199525345,0.923677276,T,T
ENSG00000164690,0.8869,SHH,HItraining,209.8997197,7.57592575,4.419256446,2.726512888,0.912961328,F,F
ENSG00000155760,0.8865,FZD7,testing,341.4383146,8.3709233,4.961564701,2.523625395,0.73019873,F,F
ENSG00000176692,0.885466667,FOXC2,HItraining,NA,NA,NA,NA,NA,F,F
ENSG00000065883,0.88495,CDK13,testing,493.3815087,43.91156375,3.773887584,5.218786623,0.751250538,T,T
ENSG00000095739,0.884733333,BAMBI,testing,85.88506736,7.682003159,-0.375515844,0.958543321,0.002176656,F,F
ENSG00000109132,0.884666667,PHOX2B,HItraining,155.6068324,5.97233634,3.94484091,2.420816157,0.850787953,T,T
ENSG00000123505,0.884366667,AMD1,testing,110.9921651,11.66415321,2.274558585,3.093067956,0.903413518,T,T
ENSG00000077809,0.884333333,GTF2I,HItraining,174.0985827,25.29620513,4.377877095,4.78520427,0.99934869,T,T
ENSG00000146247,0.884133333,PHIP,testing,555.7520368,81.37658336,5.202598642,8.057446888,0.999999948,T,T
ENSG00000144724,0.883816667,PTPRG,testing,521.828752,52.77566066,0.338922536,5.150921431,0.004176573,T,T
ENSG00000181744,0.8837,C3orf58,testing,191.1272377,10.16428747,3.082541566,2.225995309,0.162503916,T,T
ENSG00000174891,0.8836,RSRC1,testing,112.6872788,18.01584641,-0.659478282,1.870732625,3.41E-05,T,T
ENSG00000163508,0.883583333,EOMES,testing,228.4251222,16.92004429,2.635135016,3.352197548,0.711878381,T,T
ENSG00000177283,0.88335,FZD8,testing,NA,NA,NA,NA,NA,T,T
ENSG00000058272,0.883333333,PPP1R12A,testing,261.7442802,37.90493842,1.141114444,5.455125879,0.999179084,T,T
ENSG00000085276,0.883216667,MECOM,testing,342.3186606,28.79682198,1.383114367,4.946531013,0.999085313,T,T
ENSG00000171956,0.883066667,FOXB1,testing,172.7942512,3.723174708,3.192347769,1.911377273,0.702812388,T,T
ENSG00000114573,0.882816667,ATP6V1A,testing,204.4507704,25.98357914,3.025685913,4.466402399,0.986543792,T,T
ENSG00000101115,0.882433333,SALL4,HItraining,418.6390016,21.30073601,1.66475032,4.571798055,0.999442034,T,T
ENSG00000109099,0.882316667,PMP22,HItraining,57.95129423,5.626785757,0.960646426,2.349740444,0.833150052,F,F
ENSG00000112320,0.882033333,SOBP,testing,NA,NA,NA,NA,NA,T,T
ENSG00000101384,0.881866667,JAG1,HItraining,478.1218975,45.17964624,4.051521166,6.510892328,0.999999616,T,T
ENSG00000061455,0.881383333,PRDM6,testing,NA,NA,NA,NA,NA,T,T
ENSG00000133937,0.881366667,GSC,testing,88.92132218,3.780847204,2.796881063,0.907239138,0.06970834,F,F
ENSG00000151612,0.8813,ZNF827,testing,375.0049455,29.52201528,1.490342407,5.199923017,0.999865838,T,T
ENSG00000143013,0.881033333,LMO4,testing,74.89541942,5.319738907,2.876520716,2.284729848,0.816026561,T,T
ENSG00000070193,0.880883333,FGF10,HItraining,64.44032131,6.14136526,1.184516256,2.454834101,0.858814552,T,T
ENSG00000139174,0.880883333,PRICKLE1,testing,281.9266869,22.96823477,1.512652189,4.333988683,0.991966859,T,T
ENSG00000116132,0.8807,PRRX1,testing,104.2802132,8.683658007,2.1209238,2.582892723,0.752904237,T,T
ENSG00000168779,0.880633333,SHOX2,testing,161.9800723,12.59159822,2.07452831,2.398408922,0.085211228,T,T
ENSG00000173575,0.88015,CHD2,HItraining,584.3313181,78.34438498,5.085498422,8.208288829,0.999999999,T,T
ENSG00000136158,0.879816667,SPRY2,testing,116.6417681,8.22350256,1.43301434,2.840652573,0.930516838,F,F
ENSG00000134371,0.878883333,CDC73,HItraining,178.3665778,32.66011837,4.115256635,5.487738052,0.999958508,T,T
ENSG00000128610,0.878683333,FEZF1,testing,214.9901057,12.22747197,3.402242253,2.613990924,0.29817219,F,F
ENSG00000126778,0.87825,SIX1,testing,137.000887,8.05810976,2.507335964,2.811941548,0.926377064,T,T
ENSG00000184486,0.877616667,POU3F2,testing,NA,NA,NA,NA,NA,F,F
ENSG00000171316,0.877566667,CHD7,HItraining,899.8449837,87.68673737,1.921514859,9.064343038,1,T,T
ENSG00000132466,0.877066667,ANKRD17,testing,787.8246337,68.30257567,5.242217587,7.946969695,1,T,T
ENSG00000134982,0.8769,APC,HItraining,812.1673014,76.10277332,-1.490311345,7.846661726,0.999999928,T,T
ENSG00000177425,0.876816667,PAWR,testing,91.81340063,9.504736699,1.113491188,2.411321337,0.442459925,F,F
ENSG00000150051,0.876783333,MKX,testing,148.5811256,11.07456571,1.106741677,2.998835764,0.882320086,F,F
ENSG00000004866,0.876116667,ST7,HItraining,186.0861071,26.77255185,3.158398207,4.742589856,0.998051872,T,T
ENSG00000273079,0.8758,GRIN2B,HItraining,581.5020907,33.85360991,6.744273259,5.76357815,0.999994896,T,T
ENSG00000118922,0.875083333,KLF12,testing,161.4272807,12.00263336,1.902807706,3.431846877,0.982233162,T,T
ENSG00000268175,0.875016667,,testing,NA,NA,NA,NA,NA,F,F
ENSG00000107362,0.8746,ABHD17B,testing,94.15492235,9.877973101,2.276145733,3.113318915,0.961448199,F,T
ENSG00000138032,0.87445,PPM1B,testing,148.7734007,13.32816383,-0.129389478,2.531049786,0.109620711,T,T
ENSG00000177707,0.874266667,PVRL3,testing,148.3686938,12.80565766,0.336049559,2.991162195,0.73366099,T,T
ENSG00000102804,0.8739,TSC22D1,testing,323.2253926,17.50347495,-1.163723185,3.670765069,0.941151546,F,F
ENSG00000164109,0.873583333,MAD2L1,HItraining,71.33383951,7.730669356,1.351309631,1.329131416,0.013167455,T,T
ENSG00000113196,0.8734,HAND1,testing,122.8393388,3.77738288,1.581638927,0.905889407,0.069599474,F,F
ENSG00000168300,0.8733,PCMTD1,testing,102.1678829,12.77070746,-0.330608066,0.768020624,2.56E-06,T,T
ENSG00000170759,0.872916667,KIF5B,testing,297.5966224,44.05304833,3.07906379,5.231515266,0.761006988,T,T
ENSG00000205189,0.87255,ZBTB10,testing,252.0487075,19.86824747,3.143993862,3.748692805,0.881586183,F,F
ENSG00000079150,0.872333333,FKBP7,testing,72.509336,7.26142951,-0.60259053,0.096102179,3.16E-05,T,T
ENSG00000165494,0.872116667,PCF11,testing,422.0152977,48.15975423,1.143225806,6.731612408,0.999999874,T,T
ENSG00000167081,0.871783333,PBX3,testing,144.7751614,15.50566358,2.186006118,3.145946464,0.592665484,T,T
ENSG00000166147,0.871516667,FBN1,HItraining,1019.710848,119.0412779,5.325941105,10.53545849,1,T,T
ENSG00000178567,0.870883333,EPM2AIP1,testing,228.3498051,14.57253213,2.47129166,2.743476158,0.164415268,F,F
ENSG00000080298,0.870833333,RFX3,testing,252.9859617,32.52818275,4.058785395,5.302256364,0.999773274,T,T
ENSG00000185532,0.870583333,PRKG1,testing,219.4111863,27.7908069,2.721280467,5.034135588,0.999743687,T,T
ENSG00000172845,0.870266667,SP3,testing,230.6739664,18.67234446,1.503114791,4.05120706,0.992297744,T,T
ENSG00000123066,0.870183333,MED13L,HItraining,726.6061878,64.75259846,4.184445172,7.724898805,0.999999999,T,T
ENSG00000143344,0.870033333,RGL1,testing,259.5793561,30.66877864,1.748028317,4.770287582,0.987846909,F,T
ENSG00000115507,0.869883333,OTX1,testing,185.9539961,6.83536503,3.477598534,1.832053318,0.219807904,T,T
ENSG00000075891,0.86985,PAX2,HItraining,182.7735518,18.00085768,2.307282071,3.035394122,0.120234372,T,T
ENSG00000163041,0.869833333,H3F3A,testing,61.6580734,3.600271709,3.840709165,1.879565,0.692334634,T,T
ENSG00000173517,0.86975,PEAK1,testing,530.0839149,39.6369225,-1.782745677,4.977760206,0.760544633,T,T
ENSG00000112333,0.869116667,NR2E1,testing,160.6073532,13.70032548,3.535609242,3.666529697,0.990508625,T,T
ENSG00000007168,0.869066667,PAFAH1B1,HItraining,139.4269529,22.42032198,3.662923894,4.690407724,0.999632853,T,T
ENSG00000154174,0.8688,TOMM70A,testing,187.7639834,22.62853089,2.168985746,4.50389756,0.998235566,T,T
ENSG00000171735,0.868416667,CAMTA1,HItraining,674.1494111,50.93810516,3.600902266,6.931071415,0.999999955,T,T
ENSG00000164924,0.868216667,YWHAZ,testing,75.0132032,9.69840712,3.445651901,2.766809272,0.817170005,F,F
ENSG00000092607,0.868033333,TBX15,testing,150.2480756,15.35278007,0.648357553,3.375731446,0.877333976,T,T
ENSG00000116095,0.868033333,PLEKHA3,testing,90.3508249,13.33347528,1.047206479,2.260706334,0.022978699,T,T
